"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации пользователя","4686","First test Web Tables","tests","Wed May 07 16:48:24 GMT 2025","passed","Wed May 07 16:48:28 GMT 2025","TestWebTables","test_web_tables","",""
"Проверка успешной авторизации пользователя","2411","First test Web Tables","tests","Wed May 07 16:49:42 GMT 2025","passed","Wed May 07 16:49:45 GMT 2025","TestWebTables","test_web_tables","",""
