"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации пользователя","2725","First test Web Tables","tests","Wed May 07 16:40:29 GMT 2025","failed","Wed May 07 16:40:31 GMT 2025","TestWebTables","test_web_tables","",""
"Проверка успешной авторизации пользователя","5169","First test Web Tables","tests","Wed May 07 16:41:45 GMT 2025","failed","Wed May 07 16:41:50 GMT 2025","TestWebTables","test_web_tables","",""
